index;micro;successor_calls;generated;pushed;popped;pruned_post_pop;length;gridcost
0;33.466;8;12;10;5;0;121.4125199474914;125.14214
1;1103.59;2028;313;310;261;0;1094.328631153745;1169.053
2;51.119;69;21;19;10;0;452.0011061933367;470.53911
3;180.619;230;92;88;55;0;366.6047728524466;387.94827
4;87.833;142;45;43;28;0;414.8969195803055;446.60512
5;59.068;80;15;13;9;0;528.5478925041965;549.10469
6;709.266;1352;210;208;180;0;485.6146433715604;525.00209
7;16565.92;27389;5626;5591;5138;14;1412.261245614494;1465.5546
8;528.508;969;195;192;123;0;864.7096782254876;884.1606
9;32.121;31;25;23;12;0;123.5677951571525;133.71068
10;32.849;42;22;20;10;0;213.0164312911096;225.70563
11;107.793;155;70;68;36;0;237.352818264411;248.0904
12;31.841;47;24;22;11;0;353.1416146533852;382.06097
13;811.316;1474;310;308;257;0;583.6590477531128;631.36962
14;5086.578;8994;1893;1878;1614;11;1081.674964802055;1140.1047
15;156.243;285;56;54;33;0;232.3189684655228;248.82338
16;1155.197;2273;339;333;274;0;1078.440316684455;1162.7271
17;34.04;53;20;18;9;0;330.8201928540639;355.68838
18;47.859;36;54;52;26;0;104.1201229350023;106.07107
19;636.894;1136;252;250;187;0;658.7740878859161;686.05801
20;191.418;276;129;127;77;0;655.0566909247659;674.79812
21;4575.182;7371;1994;1987;1824;7;517.7552745627163;547.14928
22;1497.83;2650;579;575;460;2;849.2220963762702;896.13918
23;272.718;458;136;134;87;0;720.4424508970883;768.66104
24;465.58;877;175;173;135;0;654.7939717932277;691.57778
25;23.627;17;20;18;9;0;97.01546268507923;101.79899
26;77.102;62;62;60;30;0;317.1655719021218;341.03658
27;1292.667;2130;551;549;484;0;1317.845862278125;1373.1282
28;3302.323;5499;1425;1420;1239;5;644.4515696277731;697.49452
29;194.905;344;93;91;64;0;604.3066661815753;644.48232
30;6356.22;10976;2472;2460;2206;9;1199.960922295442;1272.653
31;476.528;647;370;367;302;0;923.3722847190728;967.30274
32;259.38;318;185;183;97;0;1081.083941910683;1149.2144
33;4.943;0;1;0;0;0;31.78049716414141;34.384776
34;454.337;799;207;205;145;0;1393.546650788574;1419.1181
35;394.369;821;103;100;78;0;1368.66718679753;1458.8662
36;831.689;1632;260;256;205;0;1217.414853532886;1267.4348
37;115.353;186;74;72;37;0;901.3995083873619;952.75945
38;425.372;840;129;127;78;0;608.4848812626615;630.4386
39;3710.676;6455;1569;1558;1349;6;758.8241634788902;791.27121
40;10.973;2;6;4;2;0;10.81665382639197;11.485281
41;226.011;407;90;88;64;0;553.455134572884;580.37973
42;97.455;159;66;64;38;0;478.8592380875817;494.56558
43;1768.129;3142;720;717;625;0;1193.010357699978;1250.8246
44;115.821;214;50;48;29;0;626.6352340913652;651.69343
45;11980.16;20998;4238;4215;3790;14;1318.430983642302;1415.3149
46;15255.136;26154;5519;5485;5008;16;1319.110430958778;1387.0916
47;1822.697;2684;808;805;663;4;680.2597530537989;697.62237
48;1533.719;2721;572;565;490;0;869.7613581344151;894.74221
49;10248.967;18464;3461;3449;3214;23;1174.578340095455;1241.1219
50;10926.869;17049;3643;3617;3329;15;1151.450598583038;1217.7708
51;469.15;638;187;184;145;0;884.6503343438585;911.93016
52;575.886;1034;127;123;98;0;1230.610276006059;1328.7687
53;191.234;278;75;73;37;0;978.217596606983;1003.055
54;64.132;48;56;54;27;0;341.5625857730908;364.48023
55;269.738;192;252;250;124;0;757.5387778853304;812.05801
56;397.867;681;109;106;75;0;334.1570233173721;362.50462
57;72.485;95;44;42;21;0;423.7098063533579;453.664
58;3072.413;5094;849;839;776;0;674.4684745125107;726.31075
59;94.88;119;63;61;32;0;749.9922577923203;811.63665
60;36.459;17;37;35;17;0;46.51881339845203;50.284271
61;2303.459;3699;993;991;860;0;613.2114790784816;645.5311
62;87.959;120;77;75;49;0;531.8991636683271;556.62237
63;2971.808;4922;1426;1415;1258;2;1043.359373863625;1113.3027
64;11167.46;18894;4444;4420;4050;10;1075.441994974447;1131.4062
65;875.945;1486;424;421;356;0;1278.022126958765;1331.4003
66;48.488;76;32;30;15;0;634.6179953326252;675.31789
67;1494.744;2870;466;461;386;1;1125.873207474454;1210.0946
68;74.408;132;46;44;24;0;266.5914718979026;273.59798
69;2475.354;4040;1165;1152;937;1;1321.825327551893;1400.7779
70;242.663;385;143;141;110;0;725.981364649974;782.00923
71;17.702;10;13;11;5;0;194.6509696867704;208.42136
72;17893.356;24254;5424;5405;4994;20;967.6051750687404;1039.526
73;742.507;1282;278;273;212;0;841.3745268775588;893.7544
74;7.477;0;1;0;0;0;42.19004621945798;45.112698
75;72.223;115;38;36;18;0;608.8480927127882;658.6417
76;138.921;228;67;63;36;0;932.8941831908562;988.87215
77;640.171;989;314;312;253;0;913.6094257214535;947.00123
78;1867.686;2895;963;955;815;0;1069.772610147477;1111.7535
79;24.796;12;25;23;11;0;41.7612260356422;44.970563
80;51.451;68;36;34;20;0;132.9390105605337;142.50967
81;4413.409;7941;1560;1557;1291;6;1013.379100066637;1077.1808
82;1054.208;2125;313;309;254;0;676.978586019402;716.193
83;29.181;32;22;19;12;0;211.7194938129086;226.09545
84;4973.268;8733;1808;1792;1579;4;1403.392019512653;1452.9566
85;374.677;691;169;165;110;2;715.4038140987606;772.03867
86;37.457;43;23;21;12;0;295.6029243451108;304.38687
87;24.493;17;23;21;10;0;82.73451516749222;86.556349
88;443.385;941;139;136;105;0;402.4939780212237;433.17366
89;69.377;115;43;41;20;0;626.0806657292653;633.69762
90;64.954;89;50;48;30;0;515.9707144886453;548.34019
91;74.441;117;42;40;22;0;329.3403276302967;355.49242
92;1043.728;2119;325;317;256;0;714.7833103092785;766.39401
93;2563.211;4765;833;821;749;1;514.240879811411;548.72496
94;240.827;480;92;90;55;0;534.2420222506258;567.49957
95;363.25;613;194;191;138;0;1256.891147854033;1281.7678
96;70.189;114;46;43;23;0;596.4824922365655;636.92092
97;315.183;464;172;170;109;0;439.8389720349538;467.12698
98;12654.572;21312;4780;4754;4477;14;1210.534252773528;1267.1981
99;393.754;624;209;207;142;0;1364.285907896301;1403.0937
